Subject,Properties,DataType,Object,DataType
Kunffy,ObjectID,GND,6,xsd:integer
Kunffy,Title,GND,Two Gypsies,xsd:string
Kunffy,MediaType,GND,Image,xsd:string
Kunffy,FileFormat,GND,JPG,xsd:string
Kunffy,Language,GND,German,xsd:string
Kunffy,Keywords_(GND),GND,"Kunffy, Lajos ( 132187388)",xsd:string
Kunffy,Persons_(GND),GND,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D132187388,anyURI
Kunffy,InstitutionOrCollection,GND,Hungarian National Gallery (presumed),xsd:string
Kunffy,DateOfOrigin,GND,1907,xsd:gYear
Kunffy,Place_(GND),GND,Hungary,xsd:string
Kunffy,Object_type_(CIDOC-CRM),GND,E22_Human-Made_Object,xsd:string
Kunffy,ContextOrComment,GND,"In the early 20th century, Kunffy portrayed local rural Romani people. He depicted them as powerful, unbroken counter-images to the “respectable Hungarian society.”",xsd:string
Kunffy,ContentAnnotations,GND,"Stylized clothing, long hair, serious expressions; representation as strong, earthy “types.” No threat, but respectful portrayal. Still, ethnographic stereotyping is present.",xsd:string
Kunffy,ImageOrText annotations,GND,"Hairstyle, clothing, posture, color scheme",xsd:string
Kunffy,AccessRights,GND,Internal,xsd:string
Kunffy,UsageLicense,GND,Protected by archival law,xsd:string
Kunffy,LinkedObjects,GND,—,xsd:string
Kunffy,DigitalObjectURL,GND,https://wikioo.org/de/paintings.php?refarticle=9FTHJH&titlepainting=Two%20Gipsies&artistname=Kunffy%20Lajos,anyURI
Kunffy,DateOfEntry,GND,09.04.2025,xsd:date
Kunffy,ProjectAffiliation_(TP),GND,TP1,xsd:string
Kunffy,ResearchCategory,GND,"Visual Culture, Ethnographic Representation, Stereotype Analysis",xsd:string
Kunffy,Machine-generatedAnnotations,GND,Not available,xsd:string
Kunffy,FramingCategories,GND,"Masculine strength', 'stereotypical earthiness'",xsd:string
Kunffy,DiscriminationContext,GND,"Stereotyping as ethnographic type without individual biography; respectful yet distanced. Not a discriminatory framing, but generalization remains.",xsd:string
Kunffy,CareStatus,GND,No,xsd:string
Kunffy,LegalStatusOrMoving Wall,GND,Not yet public,xsd:string
Kunffy,WorkshopOrTeachingContext,GND,Not used,xsd:string
Kunffy,PublicationStatus,GND,Not yet published,xsd:string
Kunffy,QualityAssuranceStatus,GND,Validated,xsd:string
Kunffy,RelatedResearchQuestions,GND,How do ethnographic-stereotypical representations of Roma affect contemporary memory?,xsd:string
Kunffy,Editor,GND,Andre Raatzsch,xsd:string
Kunffy,FullName,DNB,"Kunffy, Lajos",xsd:string
Kunffy,GNDIdentifier,DNB,https://d-nb.info/gnd/132187388,anyURI
Kunffy,AlternativeNames,DNB,"Kúnffy, Lajos (Thieme-Becker); Kunfy, Lajos (Thieme-Becker); Kúnfy, Lajos; Kunfy, Ludwig",xsd:string
Kunffy,Gender,DNB,Male,xsd:string
Kunffy,DateOfBirth,DNB,1869,xsd:gYear
Kunffy,DateOfDeath,DNB,1962,xsd:gYear
Kunffy,NationalityOrCountry,DNB,Hungary (XA-HU),xsd:string
Kunffy,PlaceOfBirth,DNB,"Orci, Somogy County",xsd:string
Kunffy,PlaceOfStudy,DNB,Munich (Academy of Fine Arts),xsd:string
Kunffy,PlaceOfActivity,DNB,Budapest,xsd:string
Kunffy,PlaceOfDeath,DNB,Kaposvár,xsd:string
Kunffy,Occupations,DNB,Artist; Painter; Jurist,xsd:string
Kunffy,EducationOrCareerInfo,DNB,Enrolled in 1891 at the Academy of Fine Arts in Munich,xsd:string
Kunffy,PersonalNetwork,DNB,Gabriel von Hackl (teacher),xsd:string
Kunffy,Sources,DNB,Matriculation records (AdBK Munich); AKL; LCAuth; Wikipedia (Hungarian),xsd:string
Kunffy,Classification,DNB,"13.4p Persons related to painting, drawing, graphic art",xsd:string
Kunffy,EntityType,DNB,Person (piz),xsd:string
